"knb-csun-usvi.10700.1","knb-csun-usvi.10701.1"
"knb-csun-usvi.10700.1","knb-csun-usvi.10704.1"
"knb-csun-usvi.10700.1","knb-csun-usvi.10702.1"
"knb-csun-usvi.10700.1","knb-csun-usvi.10706.1"
"knb-csun-usvi.10700.1","knb-csun-usvi.10703.1"
"knb-csun-usvi.10700.1","knb-csun-usvi.10707.1"
"knb-csun-usvi.10700.1","knb-csun-usvi.10705.1"
"doi:10.6085/AA/TMBX00_XXXITBDXMSR01_20011015.50.1","doi:10.6085/AA/TMBX00_XXXITBDXMSR01_20011015.40.1"
"doi:10.6085/AA/SWC001_022MTBD000R00_20080429.50.1","doi:10.6085/AA/SWC001_022MTBD000R00_20080429.40.1"
"doi:10.6085/AA/LOP001_026MTBD004R00_20061118.50.4","doi:10.6085/AA/LOP001_026MTBD004R00_20061118.40.2"
"doi:10.6085/AA/TMBX00_XXXITBDXLSR01_20040321.50.4","doi:10.6085/AA/TMBX00_XXXITBDXLSR01_20040321.40.2"
"doi:10.6085/AA/TMBX00_XXXITBDXMSR02_20000122.50.3","doi:10.6085/AA/TMBX00_XXXITBDXMSR02_20000122.40.2"
"doi:10.6085/AA/TPT001_018ADCP018R00_20040716.50.4","doi:10.6085/AA/TPT001_018ADCP018R00_20040716.40.1"
"doi:10.6085/AA/ANSXXX_015MTBD014R00_20070911.50.5","doi:10.6085/AA/ANSXXX_015MTBD014R00_20070911.40.2"
"doi:10.6085/AA/SWC001_022MXTI021R00_20060705.50.5","doi:10.6085/AA/SWC001_022MXTI021R00_20060705.40.2"
"doi:10.6085/AA/VALXXX_015MTBD003R00_20051114.50.6","doi:10.6085/AA/VALXXX_015MTBD003R00_20051114.40.2"
"doi:10.6085/AA/BIG001_026MTBD004R00_20051206.50.9","doi:10.6085/AA/BIG001_026MTBD004R00_20051206.40.2"
"doi:10.6085/AA/IPIEXX_XXXITBDXLZR01_20010208.50.6","doi:10.6085/AA/IPIEXX_XXXITBDXLZR01_20010208.40.3"
"doi:10.6085/AA/ARGXXX_015MTBD003R00_20040505.50.5","doi:10.6085/AA/ARGXXX_015MTBD003R00_20040505.40.2"
"doi:10.6085/AA/POHX00_XXXIBTNXMBR12_20080615.50.1","doi:10.6085/AA/POHX00_XXXIBTNXMBR12_20080615.40.1"
"doi:10.6085/AA/CARX00_XXXITV2XLSR03_20140403.50.2","doi:10.6085/AA/CARX00_XXXITV2XLSR03_20140403.40.2"
"doi:10.6085/AA/LB15XX_015MTV2014R00_20130418.50.1","doi:10.6085/AA/LB15XX_015MTV2014R00_20130418.40.1"
"doi:10.6085/AA/SRKX00_XXXITV2XHSR01_20130502.50.2","doi:10.6085/AA/SRKX00_XXXITV2XHSR01_20130502.40.2"
"doi:10.6085/AA/LB30XX_030MTV2001R00_20120712.50.2","doi:10.6085/AA/LB30XX_030MTV2001R00_20120712.40.2"
"doi:10.6085/AA/LBN15X_015MTV2014R00_20120819.50.1","doi:10.6085/AA/LBN15X_015MTV2014R00_20120819.40.1"
"doi:10.6085/AA/CBLS00_XXXITBPXLCR01_20120509.50.2","doi:10.6085/AA/CBLS00_XXXITBPXLCR01_20120509.40.2"
"doi:10.6085/AA/CBLX00_XXXITBPXLSR01_20120803.50.2","doi:10.6085/AA/CBLX00_XXXITBPXLSR01_20120803.40.2"
"doi:10.6085/AA/LB30XX_030MTV2009R00_20120712.50.2","doi:10.6085/AA/LB30XX_030MTV2009R00_20120712.40.2"
"doi:10.6085/AA/PELXXX_015MTBD014R00_20041008.50.3","doi:10.6085/AA/PELXXX_015MTBD014R00_20041008.40.2"
