"doi:10.1575/1912/bco-dmo.661345","http://lod.bco-dmo.org/id/dataset-file/664555"
"doi:10.1575/1912/bco-dmo.661345","http://lod.bco-dmo.org/id/dataset-file/664554"
"doi:10.1575/1912/bco-dmo.661345","http://lod.bco-dmo.org/id/dataset-file/664553"
"doi:10.1575/1912/bco-dmo.661343","http://lod.bco-dmo.org/id/dataset-file/664566"
"doi:10.1575/1912/bco-dmo.661343","http://lod.bco-dmo.org/id/dataset-file/664564"
"doi:10.1575/1912/bco-dmo.661343","http://lod.bco-dmo.org/id/dataset-file/664565"
"doi:10.1575/1912/bco-dmo.652124","http://lod.bco-dmo.org/id/dataset-file/664577"
"doi:10.1575/1912/bco-dmo.652124","http://lod.bco-dmo.org/id/dataset-file/664575"
"doi:10.1575/1912/bco-dmo.652124","http://lod.bco-dmo.org/id/dataset-file/664576"
"doi:10.1575/1912/bco-dmo.661344","http://lod.bco-dmo.org/id/dataset-file/664523"
"doi:10.1575/1912/bco-dmo.661344","http://lod.bco-dmo.org/id/dataset-file/664525"
"doi:10.1575/1912/bco-dmo.661344","http://lod.bco-dmo.org/id/dataset-file/664524"
"doi:10.1575/1912/bco-dmo.649882","http://lod.bco-dmo.org/id/dataset-file/664497"
"doi:10.1575/1912/bco-dmo.649882","http://lod.bco-dmo.org/id/dataset-file/664499"
"doi:10.1575/1912/bco-dmo.649882","http://lod.bco-dmo.org/id/dataset-file/664498"
"doi:10.1575/1912/bco-dmo.660079","http://lod.bco-dmo.org/id/dataset-file/664536"
"doi:10.1575/1912/bco-dmo.660079","http://lod.bco-dmo.org/id/dataset-file/664537"
"doi:10.1575/1912/bco-dmo.660079","http://lod.bco-dmo.org/id/dataset-file/664538"
"kubi.lifemapper.sdm.layers.615.eml","kubi.lifemapper.sdm.layers.615.tif"
